AppID,Name,Price,DLC count,Estimated owners (mid),Positive rate,Total reviews,Release date,Developers,Publishers,Genres
696170,SENRAN KAGURA Peach Beach Splash,29.99,28,350000.0,0.7983643542019176,3545,"Mar 7, 2018",Tamsoft,"XSEED Games,Marvelous USA, Inc.,Marvelous",Action
392110,ENDLESS™ Space 2,39.99,21,350000.0,0.8328027113073843,19473,"May 18, 2017",AMPLITUDE Studios,SEGA,Strategy
396900,GRIP: Combat Racing,29.99,24,350000.0,0.8512650140557118,3912,"Nov 6, 2018",Caged Element Inc.,Wired Productions,"Action,Indie,Racing"
759740,RIDE 3,39.99,26,350000.0,0.8245653646421314,4428,"Nov 30, 2018",Milestone S.r.l.,Milestone S.r.l.,"Racing,Simulation,Sports"
538680,The Legend of Heroes: Trails of Cold Steel,39.99,24,350000.0,0.9519621109607578,4433,"Aug 2, 2017",Nihon Falcom,"XSEED Games,Marvelous USA, Inc.",RPG
919640,Steel Division 2,39.99,28,350000.0,0.7871900826446281,6291,"Jun 20, 2019",Eugen Systems,Eugen Systems,"Action,Indie,Simulation,Strategy"
530070,Train Sim World® 2020,39.99,26,350000.0,0.7756484149855908,6939,"Mar 16, 2017",Dovetail Games,Dovetail Games - TSW,Simulation
1465360,SnowRunner,27.49,22,350000.0,0.8752361460957179,12703,"May 17, 2021",Saber Interactive,Focus Entertainment,"Adventure,Simulation"
489630,"Warhammer 40,000: Gladius - Relics of War",39.99,13,350000.0,0.7980503655564581,6154,"Jul 12, 2018",Proxy Studios,Slitherine Ltd.,Strategy
1338770,Sniper Ghost Warrior Contracts 2,39.99,23,350000.0,0.8466848611334082,6228,"Jun 4, 2021",Underdog Studio,CI Games,Action
307960,IL-2 Sturmovik: Battle of Stalingrad,49.99,26,350000.0,0.8023899737685806,6861,"Oct 22, 2014",1C Game Studios,1C Game Studios,"Action,Simulation"
507490,Ashes of the Singularity: Escalation,29.99,13,350000.0,0.7600286532951289,4187,"Nov 10, 2016","Stardock Entertainment,Oxide Games",Stardock Entertainment,"Indie,Simulation,Strategy"
520440,GUILTY GEAR Xrd -REVELATOR-,29.99,13,350000.0,0.9333691563675444,7443,"Dec 14, 2016",Arc System Works,Arc System Works,Action
1066890,Automobilista 2,23.99,11,350000.0,0.8968553459119497,4769,"Jun 30, 2020",Reiza Studios,Reiza Studios,"Racing,Simulation,Sports"
312670,Strange Brigade,49.99,10,350000.0,0.84620886981402,5591,"Aug 27, 2018",Rebellion,Rebellion,"Action,Adventure"
376300,GUILTY GEAR Xrd -SIGN-,29.99,37,350000.0,0.9105974705625818,2292,"Dec 9, 2015",Arc System Works,Arc System Works,Action
314650,SpaceEngine,24.99,12,350000.0,0.9607288721332077,6365,"Jun 11, 2019",Vladimir Romanyuk,Vladimir Romanyuk,"Casual,Indie,Simulation,Early Access"
1259980,RIDE 4,49.99,32,350000.0,0.7877397148008524,6100,"Oct 8, 2020",Milestone S.r.l.,Milestone S.r.l.,"Racing,Simulation,Sports"
